,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
10236,Spyborgs,Wii,2009.0,Action,Capcom,0.09,0.01,0.0,0.01,66.0,30.0,6.3,6.0,Bionic Games,T
3643,Mega Man Zero,GBA,2002.0,Platform,Capcom,0.22,0.08,0.24,0.01,82.0,17.0,8.9,31.0,Inti,E
7092,Rune Factory: Tides of Destiny,PS3,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.02,55.0,12.0,7.9,44.0,Neverland,E10+
872,Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,0.02,0.2,88.0,69.0,8.3,225.0,Ubisoft Montreal,M
8131,FIFA Soccer 2002,GC,2001.0,Sports,Electronic Arts,0.14,0.04,0.0,0.0,81.0,13.0,8,9.0,EA Sports,E
2562,Final Fantasy Anthology,PS,1999.0,Role-Playing,Square EA,0.45,0.3,0.0,0.05,80.0,14.0,8.1,28.0,SquareSoft,T
13696,Rodea the Sky Soldier,3DS,2015.0,Action,Nippon Ichi Software,0.03,0.0,0.0,0.0,45.0,7.0,5.6,37.0,"Prope, Kadokawa",E10+
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,95.0,96.0,9,2316.0,Rockstar San Diego,M
9830,WWE SmackDown vs Raw 2008,DS,2007.0,Fighting,THQ,0.11,0.0,0.0,0.01,61.0,12.0,6.6,13.0,Amaze Entertainment,T
4779,Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,59.0,38.0,5.7,20.0,Midway,T
4024,Dragon Ball Z: Supersonic Warriors 2,DS,2005.0,Fighting,Atari,0.13,0.02,0.32,0.02,66.0,13.0,7.6,28.0,Arc System Works,E10+
1043,The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.17,0.39,0.0,0.15,89.0,25.0,8.9,43.0,Harmonix Music Systems,T
1085,Madden NFL 2001,PS,2000.0,Sports,Electronic Arts,1.58,0.05,0.0,0.04,90.0,14.0,6.8,4.0,EA Sports,E
1924,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.42,0.01,0.11,76.0,57.0,6.6,198.0,Crystal Dynamics,T
2029,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.64,0.28,0.0,0.1,61.0,11.0,6,5.0,Eurocom Entertainment Software,E10+
2112,NBA 2K10,X360,2009.0,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,82.0,46.0,7.6,34.0,Visual Concepts,E
1351,SimCity (2013),PC,2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,64.0,75.0,2.2,4572.0,Maxis,E10+
15611,Charlie's Angels,GC,2003.0,Action,Ubisoft,0.01,0.0,0.0,0.0,23.0,21.0,3.3,23.0,Neko Entertainment,T
3344,Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,52.0,29.0,7.5,39.0,Appaloosa Interactive,M
274,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,80.0,32.0,7.8,47.0,EA Canada,E
2449,The House of the Dead: Overkill,Wii,2009.0,Shooter,Sega,0.44,0.3,0.02,0.09,78.0,65.0,8.7,95.0,Headstrong Games,M
7709,The Great Escape,PS2,2003.0,Action,SCi,0.1,0.07,0.0,0.02,57.0,19.0,8,21.0,Pivotal Games,T
3589,Tony Hawk's Project 8,PSP,2006.0,Sports,Activision,0.41,0.07,0.0,0.07,68.0,11.0,7.6,14.0,Page 44 Studios,T
1147,Super Mario Strikers,GC,2005.0,Sports,Nintendo,0.98,0.38,0.2,0.04,76.0,39.0,8.7,55.0,Next Level Games,E
5001,SSX 3,GC,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,92.0,27.0,8.7,45.0,EA Canada,E
558,Madden NFL 12,X360,2011.0,Sports,Electronic Arts,2.42,0.11,0.0,0.16,78.0,55.0,5.9,94.0,EA Tiburon,E
4843,I-Ninja,PS2,2003.0,Platform,Sony Computer Entertainment,0.19,0.15,0.0,0.05,73.0,39.0,8.3,22.0,Argonaut Games,T
4896,Donkey Konga 2,GC,2004.0,Misc,Nintendo,0.3,0.08,0.0,0.01,69.0,30.0,6,9.0,Namco,T
9489,Heroes of the Pacific,XB,2005.0,Simulation,Codemasters,0.1,0.03,0.0,0.0,76.0,33.0,8.2,5.0,IR Gurus Interactive Ltd.,T
553,The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,Nintendo,1.75,0.52,0.33,0.1,95.0,30.0,9.1,314.0,Capcom,E
2209,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,77.0,32.0,7.9,187.0,CyberConnect2,T
11762,Grand Ages: Medieval,PS4,2015.0,Strategy,Kalypso Media,0.0,0.05,0.02,0.01,64.0,10.0,7.1,12.0,Gaming Minds Studios,T
1904,Forza Horizon 3,XOne,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,91.0,90.0,7.4,594.0,Playground Games,E
5215,Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,73.0,10.0,6.8,20.0,Ubisoft,E10+
833,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,72.0,38.0,9,34.0,Zipper Interactive,T
15304,Kuon,PS2,2004.0,Adventure,Indie Games,0.01,0.01,0.0,0.0,57.0,20.0,7.7,9.0,From Software,M
8608,Angry Birds Star Wars,XOne,2013.0,Strategy,Activision,0.11,0.04,0.0,0.02,53.0,4.0,6.9,63.0,Exient Entertainment,E
1175,Devil May Cry 4,PS3,2008.0,Action,Capcom,0.58,0.45,0.34,0.2,84.0,63.0,8.2,311.0,Capcom,M
3623,Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,94.0,53.0,9.3,439.0,Aspect,M
12194,Batman: Rise of Sin Tzu,GBA,2003.0,Action,Ubisoft,0.05,0.02,0.0,0.0,63.0,12.0,6.8,4.0,Ubisoft,E
3948,Ratatouille,Wii,2007.0,Action,THQ,0.43,0.03,0.0,0.04,62.0,16.0,6.7,12.0,Asobo Studio,E
1327,SingStar Pop,PS2,2007.0,Misc,Sony Computer Entertainment,0.04,1.08,0.0,0.32,73.0,13.0,7.5,8.0,SCEE London Studio,E10+
2697,The Sims 3,3DS,2011.0,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,52.0,29.0,3.3,31.0,EA Games,T
429,God of War: Chains of Olympus,PSP,2008.0,Action,Sony Computer Entertainment,1.48,1.0,0.04,0.66,91.0,79.0,8.6,565.0,Ready at Dawn,M
2966,Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,78.0,44.0,8.7,54.0,Black Isle Studios,T
12832,Hail to the Chimp,X360,2008.0,Misc,Gamecock,0.05,0.0,0.0,0.0,52.0,23.0,6.1,7.0,Wideload Games Inc.,T
4441,Samurai Warriors 3,Wii,2009.0,Action,Nintendo,0.09,0.02,0.32,0.01,55.0,26.0,7.2,22.0,Omega Force,T
4156,Valkyrie Profile 2: Silmeria,PS2,2006.0,Role-Playing,Square Enix,0.04,0.03,0.39,0.01,84.0,45.0,9,59.0,Tri-Ace,T
11746,Rayman Origins,PC,2012.0,Platform,Ubisoft,0.0,0.06,0.0,0.01,86.0,11.0,8.4,337.0,UBlart Montpellier,E10+
5180,Robots,PS2,2005.0,Action,Vivendi Games,0.18,0.14,0.0,0.05,53.0,6.0,6,8.0,Eurocom Entertainment Software,E
8233,Race Pro,X360,2009.0,Racing,Atari,0.06,0.09,0.0,0.02,72.0,54.0,7,60.0,SimBin,E
1964,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.95,0.01,0.01,0.08,75.0,22.0,6.9,36.0,n-Space,T
7416,Heroes of Ruin,3DS,2012.0,Role-Playing,Nintendo,0.13,0.07,0.0,0.02,69.0,53.0,7.4,50.0,n-Space,T
7792,Aliens versus Predator: Extinction,PS2,2003.0,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,66.0,17.0,8.4,30.0,Zono Inc.,T
6436,America's Test Kitchen: Let's Get Cooking,DS,2010.0,Simulation,Nintendo,0.25,0.0,0.0,0.02,87.0,4.0,5.6,9.0,Indies Zero,E
2662,Ghost Squad,Wii,2007.0,Shooter,Sega,0.42,0.21,0.08,0.07,69.0,42.0,7.5,31.0,"Artificial Mind and Movement, Polygon Magic",T
2481,Duke Nukem Forever,X360,2011.0,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,49.0,76.0,4.4,456.0,"Gearbox Software, 3D Realms",M
2628,Star Wars The Clone Wars: Jedi Alliance,DS,2008.0,Action,LucasArts,0.61,0.11,0.0,0.06,68.0,10.0,7.8,32.0,LucasArts,E10+
10504,Death By Degrees,PS2,2005.0,Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,51.0,45.0,6.2,24.0,Namco,M
1686,NHL 2002,PS2,2001.0,Sports,Electronic Arts,0.59,0.46,0.0,0.15,92.0,22.0,8.5,26.0,EA Sports,E
1190,Need for Speed: Most Wanted,X360,2012.0,Racing,Electronic Arts,0.62,0.78,0.01,0.15,83.0,54.0,8.5,134.0,EA Canada,T
6699,Don King Presents: Prizefighter,X360,2008.0,Sports,Take-Two Interactive,0.14,0.08,0.0,0.02,56.0,45.0,6.4,29.0,Venom Games,T
3422,WarioWare D.I.Y.,DS,2009.0,Misc,Nintendo,0.17,0.18,0.2,0.04,82.0,53.0,8.7,39.0,Intelligent Systems,E
5284,Persona 2: Eternal Punishment,PS,2000.0,Role-Playing,Atlus,0.03,0.02,0.28,0.02,83.0,11.0,8.4,25.0,Atlus Co.,T
2499,Dragon Age II,PS3,2011.0,Action,Electronic Arts,0.4,0.26,0.05,0.11,82.0,52.0,4.3,1197.0,BioWare,M
3322,Tony Hawk's Underground,GBA,2003.0,Sports,Activision,0.43,0.16,0.0,0.01,86.0,9.0,7.7,9.0,Vicarious Visions,E
1723,LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,LucasArts,0.4,0.48,0.0,0.29,76.0,8.0,7.6,11.0,Traveller's Tales,E10+
7224,Shellshock: Nam '67,XB,2004.0,Shooter,Eidos Interactive,0.16,0.05,0.0,0.01,58.0,37.0,7,14.0,Guerrilla,M
2008,Guinness World Records: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,67.0,12.0,7,8.0,TT Fusion,E10+
9785,Lunar: Dragon Song,DS,2005.0,Role-Playing,Rising Star Games,0.11,0.0,0.0,0.01,59.0,30.0,6.2,17.0,"Game Arts, Japan Art Media (JAM)",E10+
14242,Rapala Tournament Fishing!,X360,2006.0,Sports,Activision,0.03,0.0,0.0,0.0,41.0,4.0,8,6.0,FUN Labs,E
11665,NHL Hitz 20-03,GC,2002.0,Sports,Midway Games,0.06,0.02,0.0,0.0,82.0,12.0,8.4,5.0,Midway,E
6912,NBA Live 14,PS4,2013.0,Sports,Electronic Arts,0.15,0.05,0.0,0.04,43.0,25.0,2.7,175.0,EA Sports,E
7471,NHL 2K3,PS2,2002.0,Sports,Sega,0.1,0.08,0.0,0.03,89.0,25.0,7.8,17.0,Treyarch,E
9598,NBA 2K13,WiiU,2012.0,Sports,Take-Two Interactive,0.07,0.04,0.0,0.01,85.0,17.0,7,43.0,Visual Concepts,E
376,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.85,0.38,0.03,0.24,89.0,81.0,8.3,693.0,Ubisoft Montreal,M
3460,Unreal Tournament,PS2,2000.0,Shooter,Infogrames,0.28,0.22,0.0,0.07,77.0,23.0,6.8,13.0,Epic Games,M
5430,Pirates of the Caribbean: At World's End,X360,2007.0,Action,Disney Interactive Studios,0.29,0.02,0.0,0.03,58.0,42.0,5.3,21.0,Eurocom Entertainment Software,T
704,Dead Island,PS3,2011.0,Action,Deep Silver,1.08,0.73,0.15,0.31,71.0,41.0,6.6,405.0,Techland,M
2417,Endless Ocean: Blue World,Wii,2009.0,Simulation,Nintendo,0.46,0.21,0.12,0.06,76.0,42.0,8.5,26.0,Arika,E10+
2655,UFC Personal Trainer: The Ultimate Fitness System,X360,2011.0,Sports,THQ,0.53,0.18,0.0,0.06,70.0,36.0,6.5,15.0,THQ,E
10241,Bodycount,X360,2011.0,Shooter,Codemasters,0.07,0.03,0.0,0.01,53.0,61.0,4.7,73.0,Guildford Studio,M
16253,Theatre Of War,PC,2007.0,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,66.0,13.0,6.2,21.0,"Battlefront.com, 1C, 1C Company",T
5082,NBA 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.3,0.04,0.0,0.03,80.0,20.0,7.4,8.0,Visual Concepts,E
11437,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014.0,Action,Little Orbit,0.0,0.07,0.0,0.0,65.0,5.0,5.6,8.0,WayForward,E10+
1450,Crysis 2,X360,2011.0,Action,Electronic Arts,0.71,0.49,0.02,0.12,84.0,72.0,7.5,533.0,Crytek,M
9881,Onimusha: Blade Warriors,PS2,2003.0,Fighting,Capcom,0.06,0.05,0.0,0.02,65.0,33.0,6.9,7.0,Capcom,T
1498,Madagascar,PS2,2005.0,Platform,Activision,0.78,0.45,0.0,0.07,69.0,25.0,7.4,25.0,Toys for Bob,E10+
208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",T
2337,NFL 2K2,PS2,2001.0,Sports,Sega,0.44,0.34,0.0,0.11,85.0,16.0,7.5,6.0,Visual Concepts,E
12123,Lifeline,PS2,2003.0,Adventure,Sony Computer Entertainment,0.03,0.03,0.0,0.01,61.0,31.0,7.7,9.0,SCEJ,M
15001,GRID Autosport,PC,2014.0,Racing,Codemasters,0.0,0.02,0.0,0.0,78.0,35.0,6.2,257.0,Codemasters,E
6829,Total War: Attila,PC,2015.0,Strategy,Sega,0.09,0.13,0.0,0.02,80.0,66.0,7.3,520.0,Creative Assembly,T
8672,NHL 2005,XB,2004.0,Sports,Electronic Arts,0.12,0.03,0.0,0.01,77.0,27.0,6.2,11.0,EA Sports,E
8763,NBA Street Homecourt,PS3,2007.0,Sports,Electronic Arts,0.12,0.01,0.0,0.02,81.0,31.0,6.5,16.0,EA Canada,E
4983,Sega Superstars Tennis,PS2,2008.0,Sports,Sega,0.1,0.0,0.0,0.28,70.0,9.0,8.3,4.0,Sumo Digital,E10+
3031,Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.59,0.03,0.0,0.05,62.0,12.0,7.2,11.0,Now Production,E
14348,Prince of Persia: The Forgotten Sands,PC,2010.0,Action,Ubisoft,0.0,0.03,0.0,0.0,75.0,16.0,6.6,218.0,Ubisoft Montreal,T
1934,Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,66.0,62.0,5.9,552.0,Square Enix,T
1634,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,82.0,56.0,7.8,57.0,EA Canada,E
1430,Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts,0.7,0.52,0.0,0.13,63.0,16.0,6.3,6.0,Electronic Arts,E
6757,Sword Art Online: Lost Song,PS4,2015.0,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,63.0,32.0,6.3,60.0,"Bandai Namco Games, Artdink",T
13386,FIFA Soccer 10,PC,2009.0,Sports,Electronic Arts,0.0,0.04,0.0,0.01,72.0,14.0,3.8,59.0,EA Sports,E
461,Kung Fu Panda,X360,2008.0,Action,Activision,1.91,0.84,0.0,0.29,75.0,42.0,7.4,32.0,"Luxoflux, Inc.",E10+
753,ATV Offroad Fury 2,PS2,2002.0,Racing,THQ,1.92,0.2,0.0,0.06,82.0,26.0,8.9,28.0,Rainbow Studios,E
3826,The Golden Compass,PS2,2007.0,Action,Sega,0.13,0.0,0.0,0.39,46.0,10.0,5.2,6.0,Shiny Entertainment,E10+
7359,Viewtiful Joe 2,PS2,2004.0,Action,Capcom,0.1,0.08,0.0,0.03,85.0,29.0,7.7,17.0,Clover Studio,T
5466,Tak 2: The Staff of Dreams,GC,2004.0,Platform,THQ,0.26,0.07,0.0,0.01,75.0,22.0,8.6,8.0,Avalanche Software,E
7315,Disaster Report,PS2,2002.0,Action,Agetec,0.03,0.02,0.15,0.01,66.0,28.0,8,7.0,Irem,T
12991,Men of War: Assault Squad,PC,2011.0,Strategy,1C Company,0.01,0.03,0.0,0.01,77.0,21.0,8.2,93.0,"THQ, 1C, 1C Company",T
8161,K-1 World Grand Prix,PS2,2002.0,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,67.0,24.0,9,7.0,Konami,T
1297,Xenogears,PS,1998.0,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,84.0,15.0,8.4,204.0,SquareSoft,T
7955,Major League Baseball 2K10,PS3,2010.0,Sports,Take-Two Interactive,0.17,0.0,0.0,0.01,74.0,19.0,5.3,4.0,Visual Concepts,E
14328,Call of Juarez: Bound in Blood,PC,2009.0,Shooter,Ubisoft,0.0,0.03,0.0,0.0,78.0,39.0,8,282.0,Techland,M
908,LittleBigPlanet 3,PS4,2014.0,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,79.0,78.0,7.1,506.0,Sumo Digital,E
1841,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,94.0,70.0,9,160.0,Ubisoft Montreal,M
11335,How to Train Your Dragon 2,WiiU,2014.0,Adventure,Little Orbit,0.03,0.05,0.0,0.01,47.0,4.0,4.9,7.0,Torus Games,E10+
11060,Pokemon Rumble World,3DS,2015.0,Action,Nintendo,0.0,0.01,0.08,0.0,58.0,16.0,6.4,69.0,"Ambrella, The Pokemon Company",E10+
1201,Stuntman,PS2,2002.0,Racing,Atari,0.76,0.59,0.0,0.2,71.0,37.0,5.7,36.0,Reflections Interactive,T
6803,Harvest Moon: Magical Melody,GC,2005.0,Simulation,Ubisoft,0.19,0.05,0.0,0.01,83.0,14.0,8.9,44.0,Marvelous,E
111,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,92.0,38.0,9.1,568.0,HAL Labs,T
1701,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,0.28,68.0,11.0,7.8,15.0,Yuke's,T
1783,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,74.0,22.0,7.5,121.0,Yuke's,T
3978,Dead or Alive Ultimate,XB,2004.0,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,83.0,64.0,8.7,25.0,Team Ninja,M
7039,Tom Clancy's Rainbow Six: Siege,PC,2015.0,Shooter,Ubisoft,0.13,0.08,0.0,0.02,79.0,37.0,6.9,734.0,Ubisoft Montreal,M
10274,BMX XXX,XB,2002.0,Sports,Acclaim Entertainment,0.08,0.02,0.0,0.0,58.0,26.0,7.8,9.0,"Z-Axis, Ltd.",M
10108,BloodRayne,GC,2002.0,Shooter,Universal Interactive,0.09,0.02,0.0,0.0,73.0,17.0,8.5,4.0,Terminal Reality,M
14005,Rugby 08,PS2,2007.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,74.0,21.0,7.4,25.0,EA Canada,E
10972,Ultimate Mortal Kombat,DS,2007.0,Fighting,Midway Games,0.07,0.01,0.0,0.01,73.0,26.0,8.6,22.0,Other Ocean Interactive,M
12431,Nights of Azure,PS4,2015.0,Action,Tecmo Koei,0.03,0.02,0.0,0.01,67.0,40.0,7.6,71.0,Gust,T
6627,NHL 08,PS3,2007.0,Action,Electronic Arts,0.16,0.06,0.0,0.03,86.0,23.0,6.9,23.0,EA Canada,E10+
7822,SpongeBob SquigglePants 3D,3DS,2011.0,Misc,THQ,0.13,0.05,0.0,0.02,64.0,8.0,6,8.0,WayForward,E
1408,LEGO Indiana Jones: The Original Adventures,PS2,2008.0,Action,LucasArts,0.6,0.01,0.0,0.76,77.0,12.0,8.4,16.0,Traveller's Tales,E10+
12864,7 Days to Die,XOne,2016.0,Action,Telltale Games,0.03,0.02,0.0,0.0,35.0,17.0,5.2,74.0,The Fun Pimps Entertainment LLC,M
11853,The Lord of the Rings: The Battle for Middle-Earth,PC,2004.0,Strategy,Electronic Arts,0.01,0.06,0.0,0.01,82.0,42.0,8.6,199.0,EA LA,T
2543,Madden NFL 25,XOne,2013.0,Sports,Electronic Arts,0.67,0.05,0.0,0.08,73.0,18.0,5.9,111.0,EA Sports,E
13060,Sacred 3,X360,2014.0,Role-Playing,Deep Silver,0.03,0.02,0.0,0.0,51.0,11.0,4.1,42.0,Deep Silver,M
11463,Major League Baseball 2K11,PC,2011.0,Sports,Take-Two Interactive,0.06,0.01,0.0,0.01,74.0,5.0,5.9,16.0,Visual Concepts,E
5896,Dynasty Warriors 6,X360,2007.0,Action,Tecmo Koei,0.15,0.06,0.06,0.02,60.0,42.0,7.4,22.0,Omega Force,T
7247,LEGO The Lord of the Rings,PC,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,80.0,6.0,8.2,127.0,TT Games,E10+
1614,Frogger: The Great Quest,PS2,2001.0,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,32.0,6.0,4.6,29.0,Konami,E
5456,WWE Wrestlemania XIX,GC,2003.0,Fighting,THQ,0.26,0.07,0.0,0.01,76.0,26.0,8.7,47.0,Yuke's,T
396,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,0.07,0.52,76.0,86.0,6.8,1319.0,Ubisoft Quebec,M
